HDFS ItemWriter Base integration of core HDFS writer functionality with Spring Batch.,XD-1,
"Create Mock on instead of instantiating object Currently, the tests use instantiated object instead of a simple mock. We can just use mock object for the tests.",XD-1107,
Restore lax command line options Restore foo bar as well as foo bar Validation of values should be done as a separate story,XD-1108,
"Provide cmdline options validation Wherever they come from cmd line args or ENV VARS , options such as transport, analytics, etc should be validated and issues should be reported to users",XD-1109,
"Fix JobRepoTests to use different batch job repo Currently, the JobRepoTests use the same batch job repository that the XD runtime uses. Since the batch job repo doesn t delete the job instances, there would be stale data from this test. ",XD-1110,
Clear Redis after tests The following keys remain after running the test suite redis 127.0.0.1 6379 keys 1 containers 2 ,XD-1111,
"Add port scan and ability to disable to container launcher Spring Boot support port scanning if you set server.port 0 and disable with 1 , so we could make that the default for the container node.",XD-1112,
We no longer validate the hadoopDistro options in the xd scripts We no longer validate the hadoopDistro options in the xd scripts. Seem sthe classes doing this validation were removed for boot. We do this validation in the xd shell script,XD-1115,
Add documentation about message store to aggregator doco ,XD-1116,
Add bash based scripts of simple module create to ,XD-1117,
"Add starting of newly build XD server, running of smoketest bash script, and killing of XD server to CI test ",XD-1118,
Create scripts for batch DB creation We need to create a shell script that calls the batch DB creation sql files for the JDBC option selected. ,XD-1119,
Update XD to Use SI 3.0.0.M2 ,XD-112,
"Standardize handling We should we centrally standardize on date time formats so that we don t create inconsistencies, and follow ISO 8601 internally. Internally we should only work with UTC or make that the default config option . Ultimately, whatever the user sees is just a formatting concern.",XD-1120,
Better error messages following XD 1109 2 forces at heand here Spring binding validation itself jsr303 for eg NotNull ,XD-1121,
Add jmxPort to list of coerced cmd line options Following merge of XD 1109. See discussion at ,XD-1122,
Add profile activation on top of XD 953 ,XD-1123,
"Turn off RestTemplate logging in shell Example xd module delete name sink file 12 31 19,495 WARN Spring Shell DELETE request for resulted in 500 Internal Server Error ; invoking error handler Command failed Cannot delete non composed module sink file The WARN log is redundant with the command result and should be silenced",XD-1124,
"Provide using simple approach Following merge of XD 953, provide module options using the simple approach where applicable",XD-1125,
Switch CAPITAL LETTERS to system.property style in application config ,XD-1126,
"Add support for deploying a batch job with partitioning across multiple XD nodes. This is a very big story, needs some before starting work. Should be able to be implemented as a plugin. ",XD-1127,
Disable JMX by default and extend to other contexts than modules ,XD-1128,
Enable into be present when executing gradlew This could be inside gradlew or a .settings file.,XD-1129,
"Create test script that reproduces failure in writing to HDFS when undeploying and redeploying a stream See This test should be created so that it reproduces the failure and then turned off, so that when we switch to the new HDFS writing code ",XD-1133,
Local control channels enabled in when alternate transport is selected. This causes intermittent test failures when testing streams with other transports since ModuleDeployer receives duplicate requests from multiple threads. Fix is to check for local transport before invoking ,XD-1135,
"Have the REST info about a module advertise enum properties When a ModuleOption is backed by an enum, change the currently String type representation to be the possible values ie java.lang.String String but traffic.Light Red Green Orange",XD-1137,
"Review and Optimize the Serialized JSON Nodes for Batch Objects For several Batch Job related JSON endpoints, we serialize too much information.",XD-1138,
Add TaskLet to Stream from S FTP to HDFS ,XD-1139,
Add S FTP Gateway and Batch Partitioner to List Process Remote Files ,XD-1140,
Spike to model the cluster nodes. Each node in the cluster advertises itself and the admin node listens to these ads and creates groups out of them. The deployment of jobs and stream processing can then be deployed onto a specific group and specific nodes within the group. The project is the start of this model.,XD-1142,
"Add date option to the trigger module The class should be able to use an actual Date object, thanks to Spring binding conversion. BUT, the construct will receive a toString version of it. Make sure this works properly",XD-1145,
"With Partitioned Jobs, Wire Partitioner and with the MessageBus ",XD-1146,
"Allow alternate transports to be used within a stream Need to clarify if this means alternate transports within a stream, e.g source processor sink or specifying that a stream use an alternate transport to the one configured for the container. ",XD-1147,
"Allow local data transport option for the container Currently local is not a supported data transport for the container. It should be an option. Note that local is not valid for control transport for a standalone container. So we need to revisit the current semantics that default the control transport to be the same as the data transport, i.e. , transport local should fail. ",XD-1148,
add SpEL transform processor It should provide an expression param for SpEL and have a default pass thru of the payload.,XD-115,
Update docs for separate control and data transport ,XD-1150,
Apply Composite GoF pattern to ModuleDefinition ,XD-1151,
"Step execution progress Shell command to use coherent Id Instead of using jobExecutionId and stepExecutionId as two separate options for the job execution step progress command, we can have a single option with id mentioned as ",XD-1152,
Fix Tail Source to Use Native Adapter by Default Support all available options,XD-1153,
"Refactor Simplify JobPlugin Currently, the JobPlugin extends AbstractPlugin and the AbstractPlugin has got lots of unused code like it doesn t do anything with in there. ",XD-1156,
Update docs for gemfire sink to include locator configuration ,XD-1157,
Create integration test script for JMS MQTT Create a script to sanity check JMS and MQTT,XD-1158,
add SpEL filter processor It should provide an expression param for SpEL and have a default value of true accept everything .,XD-116,
"Standardize naming and unit for options across modules We should standardize on the options between modules idleTimeout timeout rolloverSize rollover Also, need to standardize on unit used for timeout should this be s or ms? ",XD-1160,
Update Spring Framework dependency to 4.0 GA ,XD-1163,
Update Spring Integration version to 4.0.M2 ,XD-1164,
Enhancements to Gemfire CQ Source The Gemfire CQ source needs some enhancements enable locator configuration consider decoupling from JSON. Currently designed to work with to avoid dependence on specific domain objects on the client and server side. So produces json strings from PdxInstance s stored in the cache. ,XD-1165,
Create Gemfire Integration Test Scripts ,XD-1166,
Mail Source ModuleOptions profiles ,XD-1167,
add to container dependencies This will enable the use of groovy scripts within modules.,XD-117,
"Container Launcher id is not unique XD container s id is set to use its application context id which is derived from With the default values , the launcher id is set to application 0 When I have multiple launchers then all the launchers have the same id as application 0 which doesn t seem correct. Do we need to use the Id that is generated at the XDContainer s constructor here? public XDContainer this.id ",XD-1171,
Restore previous CmdLine library to populate options Expected benefits are key space value as well as key value on the command line eg XD 1108 nice usage screen ,XD-1172,
Update HDFS sink documentation to reflect new functionality introduced in XD 990 and XD 991 ,XD-1174,
Update to spring data hadoop 2.0.0.M4 Update dependencies to spring data hadoop 2.0.0.M4,XD-1176,
Make avro sink options consistent with hdfs and add docs ,XD-1178,
"replace testsource with time and testsink with log This should facilitate testing while avoiding any class dependencies. Also, log is a generally useful sink by itself and time is a more interesting source for testing should accept interval for the seconds between time messages .",XD-118,
"Enabling of JMX support is broken However this is triggered depending on whether is merged yet or not , jmx seems to be broken because of duplicate beans mbeans names",XD-1180,
"Surface the provenance of a default to the user When using Value for providing a default value in a module options POJO, make it so that the REST API and hence the module info command advertises that 1 the expression was 2 to the best extent possible value may come from another property source , tell which config file it came from introspecting the PropertySource annotation ",XD-1181,
Update to spring data hadoop 2.0.0.M5 Update to spring data hadoop 2.0.0.M5 when it is released and remove the temporary in spring xd hadoop We should also review the supported hadoop distros think we should support anything that is current stable hadoop12 hadoop22 phd1 PHD 1.1 hdp13 hdp20 cdh4 ,XD-1182,
xd admin server to transport as an option. NAME?,XD-1187,
HDFS sink should default to The current default is but most new use 8020,XD-119,
Add documentation for JDBC to HDFS batch job Add docs to section ,XD-1192,
Update to Spring Batch 2.2.4 ,XD-1193,
Add paging and sorting to Field Value Counter API see discussion at ,XD-1195,
Align filehdfs batch job defaults with those of corresponding hdfs sink The batch jobs use different defaults compared to some of the sink source modules. filehdfs puts data in a data directory with files named after the stream using a .log file extension. The hdfs sink puts files in an xd streamname directory using .txt as the default file extension. filehdfs needs a more descriptive naming,XD-1196,
Fix filejdbc batch job filejdbc throws an exception Could not resolve resource location pattern class path resource cannot be resolved to URL because it does not exist This can be solved by using a prefix Maybe just update the docs? ,XD-1199,
Jolokia based aggregator for cluster monitoring ,XD-12,
Find and eliminate package level cycles across XD projects ,XD-120,
"Create custom help command for xd shell so that hadoopDistro option is listed xd shell is using the default spring shell help command. Need to create a help command specific to XD so that it can list the hadoopDistro command line option. Note, the hadoopDistro command line option is actually processed by the xd shell bash script",XD-1201,
Update build script to use correct version of spring data hadoop based on distro ,XD-1202,
"Update jdbchdfs properties and defaults to better match hdfs sink We should use fileName, fileExtension properties and default to xd jobname as directory",XD-1204,
Add test for filejdbc to test scripts The filejdbc jobs isn t included in the test scripts,XD-1205,
Create Module options metadata for OOTB jobs Create Module options metadata for OOTB jobs ,XD-1208,
Add support for XD CONFIG environment variable in windows shell scripts This was added in bash scripts as part of XD 1186.,XD-1209,
Add pre compiled redis distributions for the selective OS platforms ,XD-121,
Update hadoop instructions in the xd samples batchHashtagCount and batchWordCount projects need hadoop fs ls instructions need to be updated. ,XD-1211,
Boot updates post 0.5 M7 Some boot classes we compile against have changed or been replaced.,XD-1212,
"Allow conditional validation for module options Using JSR303 groups, which should be derived from injected values",XD-1213,
Make job names unique across tests that use the same JobRepository The job names used by the tests should be unique across the tests when use the same JobRepository. ,XD-1214,
"Distributed JobLocator should return a valid job In distributed batch processing in XD, the JobLocator implementation for getJob String jobName should return a valid Job Since we won t we relying on the MapJobRegistry s joblocator implementation which doesn t work in distributed use case, we need to have an appropriate way to return FlowJob SimpleJob using XD s BatchJobLocator.",XD-1215,
Batch jobs should use application.yml provided connection as default Batch jobs should use application.yml provided connection as default. They now have their own configuration in This config needs to account for any changes made to application.yml settings so the data is written to the batch metadata database by default.,XD-1220,
XD that has empty MANIFEST file. This build directory also gets copied into the bundle after dist .,XD-1221,
Add code coverage to gradle build Build should be able to generate code coverage reports. After a quick tour of the intertubes it seems that JaCoCo is a well maintained project and has first class support inside gradle. ,XD-1224,
"Integrate code coverage reports into the CI process Not sure if this is best done via Sonar our sonar build plan, the nightly one, or the frequent one off master... Open question is if we want to fail a build do to code coverage levels.",XD-1225,
Review abstract base classes used in test cases to ensure proper resource cleanup. ,XD-1226,
"Create build infrastructure for Angular based UI Create a project that includes build and test automation for a new Angular based UI. This work is independent of calling the UI build step from gradle. A super minimal UI, just to have some basic code, is all that is required. This should use Grunt Jasmine Karma Bower YUIdoc separate story? UI Components from backbone should be available in the base project. ",XD-1229,
Integrate grunt based UI build into the XD s gradle build Blog post seems to be the definitive reference....,XD-1230,
Investigate if we should use RequreJS with Angular ,XD-1231,
Create EC2 AMI for single node install of Apache Hadoop 1.2.1 ,XD-1232,
Create EC2 AMI for single node install of Apache Hadoop 2.2.0 ,XD-1233,
Create EC2 AMI for single node install of Pivotal HD 1.1 ,XD-1234,
Create EC2 AMI for single node install of Cloudera CDH 4.5.0 ,XD-1235,
Create EC2 AMI for single node install of Hortonworks Data Platform 1.3 ,XD-1236,
Add option to stop all running XD EC2 instances that match a given naming pattern This functionality should be added as a command line option to the main app in the spring xd ec2 project,XD-1237,
Add to Acceptance Test EC2 CI build plan a stage that stops any existing CI EC2 deployments Add a stage to the plan that will stop any instances that the CI process may have started before and relaunch a 2 node install based on rabbit. was created as an empty shell. The running of across different transports will be handled in a separate story along with adding a stage to run a hello world acceptance test. ,XD-1238,
Add stage to Acceptance Test EC2 build plan that runs a basic acceptance test application against the single node deployment Run test application developed in XD 1245 ,XD-1239,
"Clean shutdown of redis in xd container Need to shutdown cleanly, no exception messages are shown. Order of components in the stream should be shut down from first to last opposite of creation ",XD-124,
"Add to Acceptance Test EC2 CI build plan a stage that uses XD distributed mode with rabbit See Stages are comprised of one or more Jobs, which run in parallel we would like the tests across the rabbit and redis transport to occur in parallel. ",XD-1240,
"Add to Acceptance Test EC2 job a stage that uses XD distributed mode with redis See Stages are comprised of one or more Jobs, which run in parallel we would like the tests across the rabbit and redis transport to occur in parallel.",XD-1241,
"Optimize deployment of xd admin and multiple nodes in spring xd ec2 to occur in parallel. The deployment of nodes is sequential, we can reduce the time to deploy a cluster greatly by having these tasks execute in parallel.",XD-1242,
Create App for CI to Shutdown XD EC2 Cluster Application will shutdown all servers with a specific name. Application will take a cluster name parameter. Generate artifact to state success or failure ,XD-1243,
Create CI Plan for XD EC2 deployment Use the cleanup app from XD 1243 to stop previous CI runs of XD on EC2. Build XD EC2 deployer from github. Use XD EC2 Deployer to deploy the CI XD Instance Should produce artifact that contains the URL admin server of the XD cluster. container servers of the XD cluster,XD-1244,
header should not be hard coded See also XD 451 as reference.,XD-1251,
"Allow processor script variables to be passed as module parameters Currently, if we want to bind values to script variables we need to put them in a properties file like so xd stream create name definition http port 9006 script log Ideally it should be xd stream create name definition http port 9006 script foo bar baz boo log ",XD-1252,
Support default values for options derived out of placeholders The logic can be found in but caused problems in the initial PR. Revisit if needed,XD-1261,
Copy latest build to S3 after a XD Build ,XD-1263,
Remove unused code related to accepted media type in MessageBus ,XD-1268,
Create TCP source module Based off SI tcp inbound adapter. This will allow for event forwarding that can select among the existing SI options. ,XD-127,
"Remove job options that are handled at module level from shell Since makeUnique, dateFormat and numberFormat now have their own module options now, they are nicely advertised as options to a job and will benefit from code completion soon , so they can be removed from the shell where they currently allow for a misconfiguration if set at both the job and shell level ",XD-1272,
and reactor Imports the SI 3.0 Instead of SI 4.0 Schema ,XD-1274,
"Out of the box batch jobs should add and To show best practice, our batch jobs should include these listeners so that notifications can be sent. In particular it is desirable that jobs with file item readers can send the files that were processed so another stream can be sent the file name when the job completes to move delete the file",XD-1276,
Rename avro sink to hdfs dataset and add support for parquet format The kite SDK is used to write Avro records in a Kite specific format and also it support the parquet format for which we will eventually support.,XD-1278,
The HDFS Sink should roll over based on the number of events. ,XD-1279,
Create TCP sink module Based off SI tcp inbound adapter. This will allow for event fowarding.,XD-128,
Create Better UI instead of Boot s default Whitelabel Error Page Create a better UI instead of Boot s default Whitelabel Error Page ,XD-1281,
Add caching to Will likely involve having the module identity type name be part of the OptionsMetadata identity cache key,XD-1282,
"Allow for late binding of module options defaults This is about computing the value to support expressions such as as a default. Initial discussion suggested to leverage the work done in XD 1175 by having a custom LateValue or DeployTimeValue, etc be resolved at deployment time",XD-1283,
"Support shell completions for closed set of values in stream definitions When doing dsl completion in a stream definition and a module option accepts a value that has a closed set of possible values eg booleans, enums , we can provide completions for those. ",XD-1284,
"Support shell completions for module names see Ideally, would require a change in the parser so that it knows which kind of module was expected when it failed.",XD-1285,
Use dedicated modules for code completion fingerprinting see discussion at ,XD-1286,
Remove references to XD 1050 in documentation ,XD-1288,
Documenation for building starting redis servers ,XD-129,
Module context should have allowNulls true The current configuration prevents modules to have default values that evaluate to null. The workaround is to either have the module have its own PPC which allows nulls rid the placeholders with ,XD-1290,
"module delete command should only provide completions with composed modules There is no point in providing completion with something that will fail when the user tries it. The information about a module being a composed is now available at the REST layer, so should be used",XD-1292,
"Remove the constraint on job module batch job id to be job Currently, the job module s batch job s bean id should be job . This also causes the job name to be actual job name .job and the batch job controllers require to search for job with suffix .job . Removing this constraint would help us avoiding these.",XD-1293,
"Fix module type guessing heuristics Commit strengthened module type inference, but some corner cases remain marked as TODOs and commented out assertions in tests . To be effective, we need to look at the whole deployed stream or composed module . Modify ParsinContext accordingly.",XD-1297,
Tail file channel adapters ,XD-13,
Remove container entry in Redis when the application context event to shutdown the container is fired ,XD-130,
Add documentation for using FTP HDFS partitioned jobs ,XD-1302,
Create REST API for getting information on a given job instance ,XD-1303,
Create shell command for getting information on a given job instance ,XD-1304,
File Sink should support Replace as an option currently the file sink only supports append. User should support an overwrite feature.,XD-1305,
"Move ftp support from .x package to spring xd dirt batch package Commit introduced support for FTP and added a bunch of .x classes. These should not belong to DIRT proper though, and should be added to an extension style project. The job s module would then depend on them",XD-1306,
Use HATEOAS Link templates HATEOAS 0.9 introduced some support for templated links. This should be leveraged to properly handle eg streams instead of using string concatenation,XD-1307,
"Weird behavior of the transform module When trying some of the examples of XD 159, came up with weird behavior of the transform module. This boils down to stream create foo definition http transform expression new transform log http post data 42 Integer OK http post data WTH WTH ! Seems that when the expression can not be evaluated, the incoming payload is transmitted as is",XD-1308,
"JSR303 validation of options interferes with dsl completion When using a JSR303 annotated class for module options, the binding failures should be bypassed, as they interfere with completion proposals. ",XD-1309,
Upgrade Lettuce to 2.3.2 ,XD-131,
"Job execution list should mention jobs that have been deleted Create a job, execute it a couple of times, destroy it and then invoke job execution list. The job name column should mention that a job is defunct even though a job with the same name could have been re created in the interim ",XD-1311,
"Job execution restart fails with NPE Create a job, launch it but make it fail eg filejdbc with missing file job execution list it s there, as FAILED. Good job execution restart theid Fails with NPE 16 59 42,160 ERROR Caught exception while handling a request at at at at at Source at at at at at at at at at Source at at at at Method at at at at org.springfram ",XD-1312,
Commands that start a job should return a representation of the JobExecution See discussion at ,XD-1313,
"Create XD .zip distribution for YARN Create XD .zip distribution for YARN that adds an additional sub project to the spring xd repo for building the xd YARN.zip Link into main build file Produce a new artifact as part of the nightly CI process will now have 2 artifacts, main xd.zip distribution and xd yarn.zip Does not include any Hadoop distribution libraries s for Apache22 unflavored ",XD-1314,
Create POJO based FileSink module metadata This is so that we can have an ENUM that can show the possible values and autocomplete. Using just the XML the user has a greater chance to enter an invalid mode. ,XD-1315,
"Profile support for modules To allow for groups of beans to be defined or not in the container that runs a module. When deploying a stream e.g. via the REST API , it should be possible to also provide profile names. Then those would apply to any modules within that particular stream deployment.",XD-132,
Make Batch Job Restarts Work with Distributed Nodes Job restart fails with NPE. See PR for XD 1090 ,XD-1320,
"Add XD deployment for YARN Add YARN specific code based on Janne s prototyping Add YARN Client and AppMaster implementations and startup config files This includes shell scripts to deploy XD to YARN Test working on Apache 2.2 distribution We can modify config files, everything should be possible to override by providing command line args or env variables. . xd yarn deploy zipFile config ",XD-1321,
Create shell script to retrieve list of xd components running on YARN ,XD-1323,
Make Hadoop22 the default for the build ,XD-1324,
Deploy XD on YARN for a distribution other than Apache Hadoop 2.2 Suggest trying with Hortonworks 2.0,XD-1325,
Provide xd shell integration for deploying XD on YARN Command such as yarn app list yarn deploy xd zipFile tmp myapp.zip config tmp myconfig.yml ,XD-1326,
Modularize XD UI From we understand the importance of modularizing client side javascript code. This story tracks modularization of XD UI.,XD-1328,
Fail Sonar CI build if there are any package tangles violated. Similar to what would show up on structure101 reports.,XD-133,
Make Batch Job Restarts Work using Single Node See also XD 1320.,XD-1331,
"XD Integration pauses should be configurable While the current setting work while running from your laptop to local deployments. Or running from your laptop to ec2, they are not long enough for CI to Ec2. This should have good defaults and have CI set them to what it needs.",XD-1332,
"STS Gradle Import Broken When importing XD as a gradle project into STS, it fails with Missing directories and spring xd yarn mkdir on these directories solves the problem. The hdp20 case relates to XD 599 it is not clear why spring xd yarn is needed. ",XD-1335,
Investigate link checking tool for user guide Asciidoc doctor might have one as part of it toolchain,XD-134,
"Support oracle jdbc configuration for XD batch job repository Currently, hsqldb, postgres and mysql job repositories are supported. We need to add configurable oracle jdbc settings.",XD-1341,
Use dot as the composed module option separator Following merge of use dot as the separator for a composed module option. Need change to the parser to accept dots,XD-1345,
Add aliases concept to module options and use in composed modules Following merge of allow a module option to be known by several names and elect a short name in composed module options when there is no ambiguity,XD-1346,
"Expose a getter for a module unique id inside a stream definition Following merge of expose a unique id under which a module is known inside a stream. That id which defaults to the module name is what should be used as the qualifier for an option name inside a composed module, ie module compose foo definition f1 filter filter f1.expression and filter.expression are available ",XD-1347,
"Allow end users to configure Rabbit MQ properties on the MessageBus for acks, txs, etc . This requires exposing properties to the ListenerContainer. Probably cleaner to inject the ListenerContainer into the RabbitMessageBus and expose property placeholders on the LC. Maybe do the same for RabbitAdmin as well. ",XD-1348,
Make hdfs configurable via application.yml We currently pull all hdfs config properties from hdfs.properties change that to use application.yml,XD-1349,
